catalog_event_id,begin,end,origin,duration_hours,nearest_other_catalog_gap_hours,isolated_at_48_hours,lstm_static_catalog_coverage,lstm_saocp_catalog_coverage,lstm_coverage_gain,lstm_unrelated_events_in_display,cnn_lstm_static_catalog_coverage,cnn_lstm_saocp_catalog_coverage,cnn_lstm_coverage_gain,cnn_lstm_unrelated_events_in_display,unet_static_catalog_coverage,unet_saocp_catalog_coverage,unet_coverage_gain,unet_unrelated_events_in_display,runet_static_catalog_coverage,runet_saocp_catalog_coverage,runet_coverage_gain,runet_unrelated_events_in_display,minimum_saocp_catalog_coverage,minimum_coverage_gain,mean_coverage_gain,all_saocp_coverages_at_least_0_5,all_saocp_coverages_improve,unrelated_display_events_total,clean_fixed_12h_display,eligible_before_display_filter,eligible,selection_rank,selected
164,2014-02-12 09:20:00,2014-02-13 10:13:00,Chi,24.88333333,3.483333333,False,1,0.5596458919,-0.4403541081,0,1,0.8145467069,-0.1854532931,0,0.9711837464,0.8496551239,-0.1215286225,0,0.9689841148,0.4958901094,-0.4730940054,0,0.4958901094,-0.4730940054,-0.3051075073,False,False,0,True,False,False,,False
165,2014-02-13 13:42:00,2014-02-14 04:44:00,Chi,15.03333333,3.483333333,False,0.4389254989,0,-0.4389254989,1,1,0,-1,1,0,0.1074064302,0.1074064302,2,0,1,1,1,0,-1,-0.08287976718,False,False,5,False,False,False,,False
166,2014-02-16 00:43:00,2014-02-16 14:24:00,Chinchilla,13.68333333,43.98333333,False,0.7497860942,0.6918328867,-0.05795320747,0,0.7578487617,0.755862566,-0.001986195696,0,0.4317123833,0.5755394032,0.1438270199,0,0.4018528624,0.1538626878,-0.2479901746,0,0.1538626878,-0.2479901746,-0.04102563946,False,False,0,True,False,False,,False
167,2014-02-18 14:43:00,2014-02-19 09:43:00,Chinchilla,19,2.133333333,False,0.9360814181,0.8785360234,-0.05754539474,0,0.9863847807,0.9834343713,-0.002950409357,0,0.9820181287,0.9950265058,0.01300837719,0,0.9418429678,0.9921457602,0.0503027924,0,0.8785360234,-0.05754539474,0.0007038413743,True,False,0,True,False,False,,False
168,2014-02-19 11:51:00,2014-02-20 02:42:00,Chinchilla,14.85,2.133333333,False,1,0.9799717359,-0.02002826412,0,1,0.9468851104,-0.05311488964,0,0.8255130191,0.928545043,0.1030320239,0,0.9193566779,0.9322308642,0.01287418631,0,0.928545043,-0.05311488964,0.01069076412,True,False,0,True,False,False,,False
169,2014-02-20 10:46:00,2014-02-22 07:06:00,FP,44.33333333,8.066666667,False,0.9509170113,0.5054620614,-0.4454549499,1,0.95031901,0.5999616792,-0.3503573308,1,0.3377377005,0.6054634085,0.267725708,2,0.5949984148,0.6520911028,0.05709268797,2,0.5054620614,-0.4454549499,-0.1177484712,True,False,6,False,False,False,,False
170,2014-02-27 22:00:00,2014-02-28 16:35:00,Turc,18.58333333,134.9,True,0,0.07349460389,0.07349460389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01837365097,False,False,0,True,False,False,,False
171,2014-04-05 22:18:00,2014-04-07 14:36:00,Chinchilla,40.3,88.35,True,0.5148644817,0.6953078784,0.1804433967,1,0.7088104149,0.9408888337,0.2320784188,0,0.4931775296,0.9314750896,0.43829756,0,0.3907690447,0.9130645299,0.5222954852,0,0.6953078784,0.1804433967,0.3432787152,True,True,1,False,True,False,,False
172,2014-04-11 06:57:00,2014-04-12 19:00:00,Chinchilla,36.05,88.35,True,0.2324042379,0.6176589767,0.3852547388,0,1,0.7921322084,-0.2078677916,0,0.9802165665,0.8891893127,-0.09102725381,0,0.155523979,0.7921322084,0.6366082293,0,0.6176589767,-0.2078677916,0.1807419807,True,False,0,True,False,False,,False
173,2014-04-20 01:00:00,2014-04-20 10:00:00,RC,9,21.45,False,1,0.07386743827,-0.9261325617,0,1,0.1803367593,-0.8196632407,0,1,0.3898089815,-0.6101910185,0,1,0.2837187963,-0.7162812037,0,0.07386743827,-0.9261325617,-0.7680670062,False,False,0,True,False,False,,False
174,2014-04-21 07:27:00,2014-04-22 07:12:00,Chinchilla,23.75,21.45,False,1,0.6301154152,-0.3698845848,0,1,0.819961076,-0.180038924,0,1,0.8947104444,-0.1052895556,0,0.9960109591,0.8947104444,-0.1013005146,0,0.6301154152,-0.3698845848,-0.1891283947,True,False,0,True,False,False,,False
175,2014-04-29 19:31:00,2014-04-30 16:00:00,Chinchilla,20.48333333,103,True,0.28143492,0.7136009086,0.4321659886,0,0.9097701248,0.871102658,-0.03866746678,0,0.9019405614,0.9298416056,0.02790104421,0,0,0,0,0,0,-0.03866746678,0.1053498915,False,False,0,True,False,False,,False
